Danish,Amharic,English
er,ነው።,is
jeg,አይ,I
det,የሚለውን ነው።,that
du,አንተ,you
ikke,አላደረገም,does not
at,ወደ,to
en,አንድ,one
og,እና,and
har,አላቸው,have
vi,እኛ,we
til,ወደ,to
på,ላይ,on
hvad,ምንድን,what
mig,እኔ,me
med,ጋር,with
de,የ,the
den,የ,the
for,ለ,for
der,እዚያ,there
så,ስለዚህ,so
dig,አንተ,you
han,እሱ,he
kan,የሚችል,able to
af,የ,of
vil,ያደርጋል,will
var,ነበር,was
her,እዚህ,here
et,አንድ,one
skal,መሆን አለበት።,must
ved,በ,by
men,ግን,but
om,ስለ,about
nu,አሁን,now
som,እንደ,as
ja,አዎ,Yes
min,የእኔ,mine
nej,አይ,no
noget,የሆነ ነገር,something
ham,እሱን,him
hun,እሷ,she
være,መሆን,be
bare,ብቻ,just
kom,መጣ,came
din,ያንተ,your
hvor,የት,where
os,የዩ.ኤስ,U.S
dem,እነርሱ,them
hvis,ከሆነ,if
ud,ወጣ,out
må,መሆን አለበት።,must
fra,ከ,from
se,ተመልከት,see
godt,ደህና,well
have,የአትክልት ቦታ,Garden
ville,ነበር,would
gør,መ ስ ራ ት,do
lige,ብቻ,just
okay,እሺ,Okay
alle,ሁሉም,all
op,ወደ ላይ,up
lad,ይሁን,let
hvorfor,ለምን,Why
tror,አስብ,think
sig,እራሳቸው,themselves
tak,አመሰግናለሁ,thanks
hvordan,እንዴት,how
kommer,መምጣት,coming
få,ጥቂቶች,few
kunne,ይችላል,could
gøre,መ ስ ራ ት,do
meget,ብዙ,much
eller,ወይም,or
hende,እሷን,her
ingen,ምንም,none
tilbage,ተመለስ,back
hvem,የአለም ጤና ድርጅት,who
gå,ሂድ,go
bliver,ይሆናል።,becomes
havde,ነበረው።,had
efter,በኋላ,after
nok,ይበቃል,enough
man,አንተ,you
da,እንደ,as
går,ይራመዳል,walks
alt,ሁሉም ነገር,everything
sagde,በማለት ተናግሯል።,said
mit,የእኔ,my
når,መቼ ነው።,when
ind,ውስጥ,in
vores,የእኛ,our
over,በላይ,over
aldrig,በፍጹም,never
nogen,ማንም,anyone
måske,ምን አልባት,maybe
hans,የእሱ,his
skulle,መሆን አለበት።,should
mand,ወንድ,male
selv,እራስ,self
to,ማቅለጥ,thaw
mere,ተጨማሪ,more